"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3628","deleteUserWithInvalidToken_returnsBadRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:00 GMT 2025","passed","Tue Feb 18 09:10:04 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","deleteUserWithInvalidToken_returnsBadRequestStatus"
"","445","putNoteWithValidIdAndBody_returnsSuccessStatusAndNote","NotesApiTestSuite","Tue Feb 18 09:10:06 GMT 2025","passed","Tue Feb 18 09:10:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","putNoteWithValidIdAndBody_returnsSuccessStatusAndNote"
"","177","registeringUserWithInvalidEmail_returnsBadRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:05 GMT 2025","passed","Tue Feb 18 09:10:05 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","registeringUserWithInvalidEmail_returnsBadRequestStatus"
"","4142","deleteNote_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:00 GMT 2025","passed","Tue Feb 18 09:10:04 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","NotesApiUnauthorizedUserNotesTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","deleteNote_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","3627","changeUserPassword_withoutAuthorizationAndPayload__returnsUnauthorizedRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:00 GMT 2025","passed","Tue Feb 18 09:10:04 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","NotesApiUnauthorizedUserTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","changeUserPassword_withoutAuthorizationAndPayload__returnsUnauthorizedRequestStatus"
"","188","getNote_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:05 GMT 2025","passed","Tue Feb 18 09:10:05 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","NotesApiUnauthorizedUserNotesTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","getNote_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","263","deleteValidNote_returnsSuccessStatus","NotesApiTestSuite","Tue Feb 18 09:10:07 GMT 2025","passed","Tue Feb 18 09:10:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","deleteValidNote_returnsSuccessStatus"
"","204","patchNote_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:05 GMT 2025","passed","Tue Feb 18 09:10:05 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","NotesApiUnauthorizedUserNotesTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","patchNote_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","183","registeringUserWithInvalidPassword_returnsBadRequestStatus","NotesApiTestSuite","Tue Feb 18 09:10:05 GMT 2025","passed","Tue Feb 18 09:10:05 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","registeringUserWithInvalidPassword_returnsBadRequestStatus"
"","447","postValidNote_returnsSuccessStatus","NotesApiTestSuite","Tue Feb 18 09:10:05 GMT 2025","passed","Tue Feb 18 09:10:05 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","postValidNote_returnsSuccessStatus"
